time,latitude,longitude,u10,v10,mwd,mwp,swh
2021-05-02 23:00:00,34.0,121.0,-5.444641,6.9490814,147.88004,4.0203524,1.0099055
2021-05-03 00:00:00,34.0,121.0,-6.0802765,7.1080627,146.65375,4.10625,1.0918701
2021-05-03 01:00:00,34.0,121.0,-6.2792053,7.51799,146.26987,4.224118,1.2047161
2021-05-03 02:00:00,34.0,121.0,-6.3949127,7.603195,146.09392,4.3708963,1.3290219
2021-05-03 03:00:00,34.0,121.0,-6.406189,7.4822845,146.24316,4.5416403,1.4296768
2021-05-03 04:00:00,34.0,121.0,-6.516037,7.6724854,145.98326,4.7031183,1.5088751
2021-05-03 05:00:00,34.0,121.0,-6.919037,8.492493,145.84848,4.8404207,1.6021683
2021-05-03 06:00:00,34.0,121.0,-6.6287994,8.919144,146.0744,4.9496136,1.6810262
2021-05-03 07:00:00,34.0,121.0,-6.773239,9.429428,146.21942,5.034131,1.7637007
2021-05-03 08:00:00,34.0,121.0,-6.3151093,9.564682,146.65079,5.1268673,1.8255985
2021-05-03 09:00:00,34.0,121.0,-6.4733734,9.503723,146.95494,5.2147856,1.8732461
2021-05-03 10:00:00,34.0,121.0,-6.0604706,9.403717,146.79977,5.2857294,1.8581394
2021-05-03 11:00:00,34.0,121.0,-5.7289886,9.508087,146.76073,5.326129,1.8401184
2021-05-03 12:00:00,34.0,121.0,-4.9918213,9.321426,146.90726,5.351658,1.7962501
2021-05-03 13:00:00,34.0,121.0,-3.9473114,9.772232,147.56049,5.3628054,1.7500695
2021-05-03 14:00:00,34.0,121.0,-2.7934113,9.636719,148.67252,5.3647413,1.7071943
2021-05-03 15:00:00,34.0,121.0,-2.1994934,8.79863,149.07324,5.384466,1.6372299
2021-05-03 16:00:00,34.0,121.0,-1.3679047,7.7061768,148.8413,5.433345,1.5529306
2021-05-03 17:00:00,34.0,121.0,-0.34584045,6.7397003,148.4881,5.494215,1.4758301
2021-05-03 18:00:00,34.0,121.0,-0.469635,5.649872,147.74355,5.5787516,1.4026008
2021-05-03 19:00:00,34.0,121.0,-1.5584259,5.596573,147.03345,5.6411457,1.3429312
2021-05-03 20:00:00,34.0,121.0,-1.7927246,5.574875,146.57285,5.665163,1.2962716
2021-05-03 21:00:00,34.0,121.0,-1.4476776,5.904831,146.2047,5.683835,1.250776
2021-05-03 22:00:00,34.0,121.0,0.33566284,5.0927124,145.97617,5.7044773,1.204572
2021-05-03 23:00:00,34.0,121.0,0.8141022,2.6452484,145.53598,5.7285643,1.1573966
2021-05-04 00:00:00,34.0,121.0,2.4727173,-0.80804443,144.99364,5.7053976,1.1171588
2021-05-04 01:00:00,34.0,121.0,1.9310303,-4.879181,143.57245,5.6065836,1.089169
2021-05-04 02:00:00,34.0,121.0,0.41706848,-6.8303986,140.84665,5.484743,1.066376
2021-05-04 03:00:00,34.0,121.0,0.6381531,-7.8289948,134.14914,5.2489347,1.0746005
2021-05-04 04:00:00,34.0,121.0,1.4055634,-8.97345,109.93036,4.9257555,1.1365355
2021-05-04 05:00:00,34.0,121.0,1.6267548,-9.304794,65.73486,4.670803,1.244278
2021-05-04 06:00:00,34.0,121.0,2.463272,-9.926147,13.585591,4.6153603,1.3587395
2021-05-04 07:00:00,34.0,121.0,2.1740417,-9.694504,357.62195,4.681466,1.4487056
2021-05-04 08:00:00,34.0,121.0,2.4884644,-8.240738,355.08914,4.795744,1.445406
2021-05-04 09:00:00,34.0,121.0,2.5094604,-7.05838,356.6048,4.9190807,1.3660406
2021-05-04 10:00:00,34.0,121.0,2.578415,-5.3793488,0.70722425,5.044837,1.267694
